date,open,high,low,close,volume,average,trades
2023-05-04,166.02,171.47,164.22,169.92,62317125.0,166.134,264431
2023-05-05,170.0,174.3,169.0,173.08,92122947.0,173.335,353425
2023-05-08,173.1,173.85,172.11,173.28,44560768.0,173.309,170319
2023-05-09,173.43,173.54,171.6,171.94,35790128.0,172.238,145258
2023-05-10,171.63,174.03,170.85,173.65,45556475.0,173.181,168929
2023-05-11,173.42,174.59,172.17,173.76,42071487.0,173.492,174880
2023-05-12,174.0,174.06,171.0,172.45,38135432.0,172.367,155548
2023-05-15,172.59,173.32,170.07,172.0,30919661.0,172.106,122965
2023-05-16,172.59,173.14,171.33,172.23,33678272.0,172.291,146293
2023-05-17,172.18,172.93,170.42,172.72,46574146.0,171.839,179592
2023-05-18,172.84,176.13,172.22,175.9,53275815.0,174.353,209883
2023-05-19,175.35,176.44,174.94,175.09,43764559.0,175.541,175032
2023-05-22,175.25,175.46,172.6,174.7,35293977.0,174.187,144368
2023-05-23,174.55,174.56,171.27,171.76,38648154.0,172.221,169818
2023-05-24,171.49,172.44,170.07,171.0,35459614.0,171.495,155443
2023-05-25,171.37,173.9,170.67,172.85,45492207.0,172.887,178610
2023-05-26,172.7,175.77,172.57,175.5,44382355.0,175.146,175599
2023-05-30,176.1,178.99,175.81,177.66,46233547.0,177.447,185582
2023-05-31,177.48,179.35,176.45,177.76,80344546.0,177.961,254734
2023-06-01,177.8,180.68,176.93,180.49,54601149.0,179.329,218641
2023-06-02,180.68,181.78,179.26,181.11,50560456.0,180.633,210125
2023-06-05,181.22,184.96,178.03,179.12,103389616.0,182.171,466611
2023-06-06,179.05,180.4,177.43,179.0,52610824.0,178.701,222241
2023-06-07,179.07,181.21,177.32,177.92,50409681.0,178.67,223733
2023-06-08,177.69,180.84,176.58,180.5,40259650.0,179.526,170486
2023-06-09,180.19,182.23,180.0,180.81,40997349.0,181.442,178220
2023-06-12,180.04,184.35,180.04,182.51,41556858.0,182.762,153874
2023-06-13,182.76,184.15,182.01,183.08,41411917.0,183.174,189134
2023-06-14,183.31,184.39,182.02,183.88,46187101.0,183.702,212138
2023-06-15,183.84,186.52,183.01,185.73,53463489.0,185.57,230984
2023-06-16,185.99,187.5,184.27,184.94,78756973.0,185.55,193706
2023-06-20,184.77,186.1,183.71,184.85,39676167.0,185.289,172629
2023-06-21,184.75,185.41,182.59,183.67,41796477.0,184.087,166319
2023-06-22,183.66,187.24,183.07,187.02,42144390.0,186.087,177317
2023-06-23,186.48,187.56,185.01,186.5,43821822.0,186.485,170980
2023-06-26,186.55,188.05,185.0,185.52,39611177.0,186.328,167392
2023-06-27,185.85,188.39,185.27,188.0,41421785.0,187.475,167880
2023-06-28,187.98,189.9,187.6,189.66,41371752.0,188.887,174219
2023-06-29,189.25,190.45,188.78,190.3,37086585.0,189.554,161275
2023-06-30,190.37,194.48,190.32,194.28,69476603.0,193.117,252210
2023-07-03,193.99,195.27,191.76,192.45,26323725.0,192.657,108227
2023-07-05,192.71,192.98,190.62,191.25,36079145.0,191.61,145575
2023-07-06,190.53,192.05,189.2,191.83,35470423.0,190.802,148824
2023-07-07,192.4,192.67,190.24,190.89,38830682.0,191.428,154806
2023-07-10,189.9,190.68,187.03,188.57,48306453.0,188.36,212242
2023-07-11,188.8,189.96,186.6,188.2,37409378.0,187.826,163599
2023-07-12,188.3,191.7,188.11,189.99,48773074.0,189.964,202497
2023-07-13,190.55,191.19,189.78,190.31,32693042.0,190.567,126344
2023-07-14,190.65,191.18,189.63,190.7,34331978.0,190.462,142870
2023-07-17,190.67,194.32,190.22,193.97,41305484.0,193.308,159946
2023-07-18,193.82,194.35,192.41,193.41,40546237.0,193.383,159923
2023-07-19,193.64,198.23,192.65,193.73,64049890.0,194.973,246876
2023-07-20,193.78,196.47,192.49,192.99,51243980.0,194.27,204916
2023-07-21,193.13,194.97,191.23,192.05,50965785.0,192.705,160606
2023-07-24,192.6,194.91,191.9,193.45,33582118.0,193.217,129762
2023-07-25,193.58,194.44,192.91,193.53,29484955.0,193.792,116666
2023-07-26,193.59,195.64,193.19,195.0,36570883.0,194.374,144453
2023-07-27,195.42,197.2,192.55,193.4,38006028.0,194.949,156632
2023-07-28,194.03,196.63,193.84,195.89,37738384.0,195.8,149841
2023-07-31,195.89,196.71,195.26,196.32,31529955.0,196.153,118864
2023-08-01,196.35,196.99,194.09,195.3,28125488.0,195.853,112149
